,KHOLODKOVSKIY_FAUST_GOETHE,KHOLODKOVSKIY_FAUST2_GOETHE,PASTERNAK_FAUST_GOETHE,PASTERNAK_FAUST2_GOETHE
PNCT,-0.9590747796005599,-0.7222438726680936,1.1100318844010248,0.5712867678676284
PREP,-0.8609909892006262,-0.8512381709158757,1.0408085763257127,0.6714205837907892
CONJ,-0.5529702337260471,-1.034468124317435,1.2204036936752702,0.367034664368212
PRCL,-0.285897676407503,-1.0886535050654331,1.315129311474514,0.059421869998422194
ADVB,-1.4706008235366919,0.5814003255842736,0.6726003766563164,0.2166001212961019
NOUNИinanИmascsingИnomn,-1.3357128127874303,-0.18539401882404768,0.8714978680154053,0.6496089635960726
NOUNИinanИfemnsingИgent,-1.0182179352604988,-0.6988868634043863,0.8753592978511853,0.8417455008136997
NPROИFIRSTpersingИnomn,-0.3222348780533077,-0.9203028117202467,1.4204113424589804,-0.17787365268542585
NOUNИinanИfemnsingИnomn,-0.8131575420711792,-0.8599579761472183,1.1524606891224627,0.5206548290959349
NOUNИanimИmascsingИnomn,0.07143395606674487,-0.9963157030361783,1.3497258014716529,-0.4248440545022194
VERBИimpfИintrsingИTHIRDperИpresИindc,-1.2985379150590397,0.9237022282378736,-0.2543527874857913,0.6291884743069575
NOUNИinanИmascsingИaccs,-0.5034254307635044,-0.9117985074667667,1.3835398202101905,0.0316841180200807
NOUNИinanИfemnsingИaccs,-0.7961725206084539,-0.8995105468821175,1.0920950503921272,0.6035880170984445
NOUNИinanИmascsingИgent,-0.886884217214599,-0.8446516354424752,0.886884217214599,0.8446516354424752
VERBИimpfИtransingИTHIRDperИpresИindc,-0.05195113503887349,-0.917803385686765,1.4026806460495842,-0.43292612532394575
ADJFИQualmascИsingИnomn,-1.263935770633538,0.8914073329731268,-0.33261467648251,0.7051431141429212
NPROИSCNDpersingИnomn,-0.9152318844918146,-0.3471569217037917,1.420187406970057,-0.1577986007744508
NOUNИinanИfemnplurИgent,-1.0597601765430535,-0.6415588512704584,0.9457052696505275,0.7556137581629843
INFNИperfИtran,0.48631013253702965,-1.1442591353812461,1.1156526569967151,-0.4577036541524985
NOUNИinanИfemnsingИablt,-0.8400772588330521,-0.8763395865524644,0.6950279479554028,1.0213888974301137
NOUNИinanИneutsingИnomn,-0.7766409564703023,-0.9401443157272081,0.9985383726046745,0.718246899592836
ADJFИAproplurИnomn,-1.0432929922298353,-0.6524173808159025,1.0030557969372245,0.6926545761085132
NPROИmascИTHIRDperИAnphsingИnomn,-1.131370849898476,1.2727922061357855,0.1414213562373095,-0.282842712474619
ADJSИQualmascИsing,-0.6745121712085634,-0.7041610578550936,1.430558780695085,-0.051885551631427954
NOUNИinanИneutsingИnomnИVbe,-0.6043347607354675,-1.0903606000571133,0.9176935255612655,0.7770018352313154
ADVBИPrdx,-0.15569349831298676,1.4323801844794781,-0.4048030956137656,-0.8718835905527258
NOUNИinanИneutsingИgent,-0.8132510347420298,-0.9170703157729271,0.8824638887626279,0.8478574617523289
ADJFИApromascИsingИnomn,0.8429272304235246,-1.404878717372541,0.0,0.5619514869490164
NPROИFIRSTpersingИdatv,1.037600924621933,-0.8103890433178602,0.6740619145354164,-0.9012737958394894
NOUNИinanИmascsingИloct,-0.8902801002067329,-0.8008795880520819,0.5848283503450087,1.1063313379138062
VERBИperfИtranmascИsingИpastИindc,-0.7377384440984531,-0.9852377930863213,0.8805265300529925,0.842449707131782
PREDИpres,0.7145558166641659,-0.7621928711084436,1.0003781433298322,-0.9527410888855544
ADVBИDmns,-0.6125976495132633,1.447150969140028,-0.11541694845902063,-0.7191363711677439
NOUNИanimИmascИNamesingИnomn,1.1379945036489834,0.5420049723261762,-0.8399997379875798,-0.8399997379875798
INFNИimpfИintr,1.1872267515379855,-1.10056786456441,0.38996499138109014,-0.47662387835466574
VERBИimpfИintrplurИTHIRDperИpresИindc,-1.4151187114691341,0.021121174798046777,0.5843525027459608,0.8096450339251264
INFNИimpfИtran,0.46768552174043765,-0.7482968347847002,1.184803321742442,-0.9041920086981795
VERBИperfИintrmascИsingИpastИindc,-0.49196857405120237,-1.1069292916152054,1.1561261490203256,0.4427717166460821
NOUNИinanИmascplurИnomn,-0.9681158619440396,-0.5604881305991809,0.22565106556590397,1.3029529269773166
NOUNИinanИneutsingИgentИVbe,0.11397568157952132,-1.2537324973747346,1.188603536472151,-0.04884672067693771
ADJFИQualfemnИsingИgent,-0.47931913736365456,-0.8279148736281305,-0.13072340109917852,1.4379574120909637
VERBИimpfИintrmascИsingИpastИindc,-0.6239810142805082,-0.7324994515466836,-0.08138882794963151,1.4378692937768234
NOUNИinanИmascsingИablt,-1.1214444504376517,-0.5371624678566903,0.6314014973052325,1.0272054209891097
VERBИperfИtransingИimprИexcl,-1.1058572257462282,-0.5867813850898355,0.8350350480124581,0.8576035628236056
NOUNИanimИmascplurИnomn,-1.0533984006377017,-0.39730251096716085,0.1421541094286172,1.3085468021762454
NPROИFIRSTperplurИnomn,-0.8867955402250226,-0.5603677340072228,0.07072602468052328,1.3764372495517223
VERBИimpfИtransingИFIRSTperИpresИindc,0.5735045209136072,-0.910860121451023,1.1132734817734726,-0.7759178812360567
INFNИperfИintr,0.599207621576742,-1.27657275901132,0.9639426955799764,-0.28657755814539837
NOUNИinanИfemnsingИloct,-0.7164977208318386,-0.8657680793384717,1.2837250831570441,0.29854071701326607
NOUNИanimИmascИSgtmИSurnsingИnomn,1.0621369705352357,0.6423702636171186,-0.7950127024964339,-0.9094945316559204
PREPVpre,-0.2799253631867321,-1.159690790345033,1.2396694655412424,0.19994668799052295
NOUNИanimИmascsingИgent,-0.8140688857492101,-0.9057949573829239,0.7223428141154963,0.9975210290166378
NOUNИinanИmascplurИgent,-1.0861014779517861,-0.3177031534144681,0.09604979056716477,1.3077548407990895
VERBИperfИtransingИTHIRDperИfutrИindc,-1.1728182741592637,-0.4793257294390034,0.948453039102709,0.7036909644955582
NOUNИanimИfemnsingИnomn,-1.313198307917874,0.20203050891044214,1.1111677990074318,0.0
GRNDИimpfИtranpres,-1.0178623254917651,-0.6744870831571939,0.6499602801332959,1.0423891285156632
VERBИimpfИtranplurИTHIRDperИpresИindc,-1.4634275737048144,0.3532411384804724,0.7973157125702092,0.3128707226541327
GRNDИimpfИintrpres,-1.2230520649551924,0.7509968819900305,-0.4076840216517308,0.8797392046168928
NPROИSCNDperplurИnomn,0.6478946224969498,-0.7842934903910446,1.057091226179234,-0.9206923582851393
ADJFmascИsingИnomn,-1.2029956518491012,-0.419020957385642,0.6352898386169411,0.9867267706178021
NOUNИanimИmascplurИgent,-0.8647948164434097,-0.7668935164686841,0.4079220832280235,1.2237662496840704
VERBИimpfИintrsingИimprИexcl,-0.7395716064228249,-0.9762345204781289,0.9762345204781289,0.7395716064228249
NPROИTHIRDperИAnphplurИgent,-1.1565606025854358,-0.34171108712751513,0.28914015064635895,1.209131539066592
NOUNИinanИneutplurИgent,-0.4654478264643845,-0.9856542207481084,1.341584911573814,0.10951713563867871
VERBИperfИtransingИFIRSTperИfutrИindc,-0.7049444153573506,-0.7049444153573506,1.4163562106721082,-0.006467379957406886
VERBИperfИintrsingИTHIRDperИfutrИindc,-0.1520698455117592,-0.963109021574475,1.402421908608446,-0.28724304152221186
VERBИimpfИtransingИimprИexcl,-0.9952489367473116,-0.6680438068577845,1.1315844075346144,0.5317083360704815
CONJИPrnt,0.28033891888877244,-1.4016945944438621,0.9656118317279939,0.1557438438270958
VERBИimpfИintrsingИFIRSTperИpresИindc,0.3137279025690793,-1.0039292882210538,1.2549116102763171,-0.5647102246243427
INTJ,0.48933210633498947,-0.2224236846977225,1.0231489496095234,-1.2900573712467904
NPROИFIRSTperplurИdatv,-0.6793662204867574,0.6793662204867574,-1.019049330730136,1.019049330730136
NOUNИinanИfemnsingИdatv,-1.1038625305842191,-0.510742364897176,1.1368136509001658,0.4777912445812291
VERBИimpfИtranmascИsingИpastИindc,-0.5727944158628631,-1.0953437075272292,1.0350495584890331,0.6330885649010591
NPROИFIRSTpersingИaccs,-0.6255700659203917,0.4651674849151631,1.1709388413381692,-1.0105362603329404
