,ROMEO_PASTERNAK_SHAKESPEARE,HAMLET_RADLOVA_SHAKESPEARE,CLEOPATRA_PASTERNAK_SHAKESPEARE,OTHELLO_PASTERNAK_SHAKESPEARE,OTHELLO_LEITIN_SHAKESPEARE,KINGLEAR_PASTERNAK_SHAKESPEARE,KINGLEAR_SCHEPKINAKUPERNIK_SHAKESPEARE,HAMLET_PASTERNAK_SHAKESPEARE,CLEOPATRA_DONSKOY_SHAKESPEARE,KINGLEAR_KUZMIN_SHAKESPEARE,ROMEO_RADLOVA_SHAKESPEARE,HAMLET_LOZINSKIY_SHAKESPEARE,HAMLET_ROSSOV_SHAKESPEARE,OTHELLO_LOZINSKIY_SHAKESPEARE,OTHELLO_RADLOVA_SHAKESPEARE
PNCT,-2.4939115481850855,1.0094092838646807,-1.714428106374137,-0.6867292668915455,0.6730121001781121,0.007838380979104312,0.9669513868945313,0.7513959099691572,0.1177934474915426,0.24407847437711527,-0.38734666005074814,0.8994542173522424,0.6044262666109477,-0.0052255873194032056,0.013281701103482445
CONJ,-1.6759669027910122,1.9857635281926167,-1.2654590069408298,-0.6156836517951121,0.5454672536096902,-0.702476749774865,-0.174680883681773,0.5783078852777048,0.12557632014007483,-0.5969175765562466,-0.8338392764469233,1.246849315662288,1.145981661253386,0.3906471328890499,-0.15356904903804935
PREP,-1.592211587684364,1.1956106815284884,-0.7334627636857622,-0.5052927862948293,-0.16511209273016578,0.6397056457033066,0.1377316954432542,2.116587681179163,0.6065172853555345,-0.07799264681726413,-1.028009461772239,0.35760458274724405,0.9508465239636695,-0.8205822095986638,-1.0819405473373687
PRCL,-2.0663762734795603,1.3619771107677459,-1.395272196745262,0.32150567397038443,1.0550380369125243,-0.053064043276665675,0.11861374379489897,1.0810498228324583,0.37873160299423936,-0.5056691182835179,-1.4629028401370905,0.32150567397038443,0.9041696785769069,0.14982788689881982,-0.2091347587962699
ADVB,-1.9013466206063432,1.5663239065723247,-1.1874144532460291,-0.5940162881673267,0.5742363493313689,-0.7330939831076476,-1.0019775266589346,0.6298674273074973,0.1848188034984704,-0.30658905195733016,-0.48275413221506996,1.04710051212846,1.4643335969494227,0.4815178860378217,0.2589935741333082
NOUNИanimИmascsingИnomn,-1.746145939801297,0.8650385560672071,-1.298514311938125,-0.845143817051066,-0.15647977418464729,1.5250082638141917,1.5250082638141917,0.33706278986961946,-0.8394049500271792,0.9740770295210568,-0.43194539133121473,0.773216683685018,0.29689072070241174,-0.4262065243073279,-0.5524615988328381
NPROИFIRSTpersingИnomn,-1.5089531406831644,0.21125343969564273,-0.7587878650292486,0.922617063160563,1.1424930922315384,0.8708815269085688,0.3017906281366326,-1.405482068179176,-0.629449024399263,0.12071625125465289,-0.5001101837692775,-0.5777134881472689,-1.004531662226221,1.6857162228774774,1.1295592081685397
NOUNИinanИmascsingИnomn,-1.5361127948568305,0.9747518878862725,-0.7315263219336262,-1.3696466280451332,0.05918797042193666,-0.8702481276100408,0.7527969988040093,1.6544887357007039,0.031443609286653754,0.10080451212486102,0.045315789854295206,1.4186616660507991,0.9608797073186311,-0.4679548911484386,-1.0228421138540966
NOUNИinanИfemnsingИnomn,-1.5226948206261433,1.4698151267764596,-1.6308578307732253,-1.1080699483956622,-0.20671153050331184,-0.18868436214546486,0.7126740557468855,1.1453260963352137,0.18988617336932226,0.045668826506546224,0.5504295405262624,1.5779781369235417,0.009614489790852214,-0.9458254331750391,-0.09854852035622982
NOUNИinanИfemnsingИgent,-1.0148470167325423,0.9564385553378638,-0.658920455108719,-0.9737785673144088,-0.7136783876662303,-0.042893713836717064,1.5861547797492435,1.5313968471917323,0.1898274995327059,1.1891597687072868,-0.7136783876662303,0.43623819604150665,0.559443544295907,-1.4118420277744992,-0.9190206347568975
INFNИperfИtran,-2.3077070108103483,1.3022634000749012,-1.5054913639469596,-0.38238945833821525,0.8409894031284527,-0.10161398193602918,0.7206570560989444,-0.5027218053677236,0.7607678384421138,0.5401585355546819,-0.9840511934857569,0.11899532095140275,1.0214879236727152,0.05882914743664859,0.41982618852517356
NOUNИinanИfemnsingИaccs,-1.658858214188254,0.2882771896607638,-1.1531087586430546,-0.5967843575433353,0.3388521352152838,1.1480512640876028,1.856100501850882,0.7434516996514433,0.18712729855172394,1.2744886279739027,0.21241477132898393,-0.09103490199813576,-0.5714968847660752,-1.1531087586430546,-0.824371612538675
VERBИimpfИintrsingИTHIRDperИpresИindc,-2.02752800418203,1.2013644579939786,-1.9012584665550354,-0.3319084989052435,0.06493861935102577,0.5339397591084348,0.984902393490559,0.6962863074859995,-0.9271791762896473,1.2735184794951184,0.19120815697802054,0.5880552752342898,0.02886160860045584,-0.3319084989052435,-0.04329241290068402
NPROИmascИTHIRDperИAnphsingИnomn,-2.14523515537449,2.0681530151996457,-0.3618941157361351,0.030048969898668218,0.3436034384065109,-0.5382685042717966,-0.24431119004569413,0.14763189558910922,0.6571579069143536,-1.0869888241605212,-1.2241689041327024,0.578769289787393,0.5983664440691331,0.6179635983508732,0.5591721355056527
NOUNИinanИmascsingИaccs,-1.2807343112207759,0.8819091529020258,-1.7862873288079242,-0.7190087361239442,0.6572189228632931,-0.24154199729163742,-0.7751812936336274,1.0223405466762336,-0.3819733910658453,-1.2807343112207759,0.4887012503342436,1.1627719404504415,0.6853052016181347,1.3593758917343326,0.20783846278582785
NPROИSCNDpersingИnomn,-0.30616728743247645,-1.273011353008718,0.8057033879802012,-0.04834220327881207,0.4673079650285167,0.7573611847013891,1.4502660983643623,-1.5147223694027783,1.8692318601140667,-0.2739391519132684,0.660676778143765,-0.8379315234994092,-0.9990722010954495,0.09668440655762414,-0.8540455912590132
ADJFИApromascИsingИnomn,-1.468519387351398,0.046815215368584795,-0.507575492943604,-0.8217302276538443,0.45336840146418994,-0.21190044851043666,0.3240105695246792,-0.4151770415582392,0.1946527375851685,-0.6923723957143336,-0.2858192096187285,2.781809376375383,0.25009180841638734,1.1555966319929625,-0.8032505373767713
VERBИperfИtranmascИsingИpastИindc,-2.6493977716393604,1.25099075616047,-0.8066945301591254,-0.37673044048040394,0.8517383871730859,0.5139094595683762,0.7596032250990742,-0.37673044048040394,0.8517383871730859,0.14536881127232923,-0.9602531336158117,0.3296391354203527,-0.6838476473937765,0.5139094595683762,0.6367563423337251
ADJFИQualmascИsingИnomn,-1.2961389262264464,1.6370961679417204,-1.74740586379078,-1.4277584496827103,0.0764646755317342,0.5653371912264287,0.9225901834648592,-0.8448719886621131,-0.675646887075488,0.4713232459005259,0.6405483474871508,1.0166041287907621,0.6029427693567898,0.32090093337908143,-0.26198552764151584
ADJFИAproplurИnomn,-1.3838674759155045,1.9348115807470683,-0.3860946876378682,-0.36440397484922393,1.0021109308353648,-0.14749684696278126,0.611678100639768,0.7635130901602779,0.004338142557728607,-0.23425969811735833,-1.3187953375495716,0.5682966750624795,0.850275941314855,-0.10411542138549272,-1.7959910188997454
NOUNИinanИneutsingИnomn,-1.6448003110889295,1.4884820308929247,-1.541049240162378,-0.37903724578500164,1.8204854578578895,-1.0637943139002413,-0.08853424719065753,0.22271896558899687,-0.37903724578500164,0.01521682373589394,-0.7317908869352766,0.40947089325678954,0.4717215358127204,0.7622245344070645,0.6377232492952027
NOUNИinanИfemnplurИgent,-0.6188751870593385,0.1474207403136632,-0.6079281023825813,-0.8378168805944819,-0.7392931185036674,1.647171341029395,1.7238009337666953,0.716669143505036,-0.4656160015847382,1.8004305265039955,-0.8487639652712391,0.20215616369744904,-0.5641397636755527,-0.65171644108961,-0.9034993886550249
VERBИimpfИtransingИTHIRDperИpresИindc,-1.4685569822190858,2.3385412883688548,-1.2264871499851706,-0.74234748551734,-0.060150685585396844,-0.47827130489852326,0.666058811116349,0.9741476885049685,0.22593184341832123,0.269944540188124,-0.6763284403626357,0.9521413401200671,0.5560270691918421,-0.74234748551734,-0.5883030468230303
NOUNИanimИmascИNamesingИnomn,-0.8343998306165845,-0.22705105955967256,-0.28086677345079136,-1.1572941139632973,-1.141918195708692,1.2105972972459291,1.287476888518956,1.287476888518956,0.04971546902322403,1.172157501609416,0.23422648807848842,-0.49612962901526647,1.1952213789913237,-1.141918195708692,-1.1572941139632973
NPROИFIRSTpersingИdatv,-0.8325077795654814,0.13929118490784362,-1.36699721002581,-0.6381479866708163,0.6737806153681724,0.5280107706971736,0.6251906671445061,-2.0472564851571375,1.0625002011575022,0.18788113313150986,1.0625002011575022,-0.4923781419998176,-0.8810977277891476,1.4512197869468322,0.5280107706971736
PREDИpres,-1.8646480429482124,0.734947335344477,-1.0462569053375508,1.9866043693372533,-0.2278657677268894,1.3607758523408653,-0.03530314711261613,0.44610340442306706,0.01283750804095219,0.06097816319452051,-0.8536942847232776,0.06097816319452051,0.15725947350165714,0.5423847147302038,-1.3351008362589607
NOUNИinanИmascsingИgent,-0.384523072817979,1.0574384502494412,-1.124989800879627,-0.7742424033767411,-0.8132143364326174,1.0964103833053174,0.8236068519141838,1.5251016469199556,0.12211205690841186,0.27799978913191675,-0.2676072736503503,0.9405226510818124,0.511831387467174,-1.826484595885399,-1.1639617339355033
NOUNИanimИmascsingИgent,-2.123488571710219,1.2080049782943338,-1.3380144826847555,-0.3629431997565937,0.6662987100009105,0.4496162026835412,1.2892609185383472,0.585042769756897,-0.4171138265859361,0.585042769756897,-1.229673229026071,0.31418963561018537,1.0454930978063068,-0.4171138265859361,-0.2546019460979091
NPROИmascИTHIRDperИAnphsingИaccs,-2.0934075236902396,1.6704244966432387,-1.2062185474687768,-0.6954127732806619,-0.184606999092547,0.4337368328193816,1.0251961503003568,-0.13083797023064017,-0.050184426937779913,0.16489168850984742,-1.3675256340544972,0.21866071737175424,0.8370045492836828,0.6756974626979623,0.7025819771289157
INFNИimpfИintr,-2.0039610331869553,1.7202143382224315,-0.49655671618791775,0.7004996531936709,-0.8069046638053666,0.6561642321054639,1.1881892851639477,0.257145442311601,-0.6295629794525387,-0.31921503183508976,-1.2502588746874364,0.257145442311601,0.301480863399808,1.0551830218993268,-0.6295629794525387
ADVBИPrdx,-1.5092617446811873,2.061390356645608,-1.3108921834963654,-0.9885416465710296,0.6975996234999571,-0.29424818242415274,-0.26945198727605,-0.7901720853862076,-0.1454710115355363,-0.5422101339051802,1.0199501604252927,0.2512681108341076,-0.1454710115355363,0.7223958186480598,1.2431159167582175
INFNИimpfИtran,-2.272338088444927,1.7986259136551046,0.022205258193272688,0.3552841310923662,0.7623805313023693,0.05921402184872752,1.3175119861341917,0.022205258193272688,0.24425784012600166,0.022205258193272688,-1.6431891063021946,-0.08882103277309181,-0.49591743298309493,0.20724907647054683,-0.31087361470582076
NOUNИinanИneutsingИgent,-1.2212096315638683,1.149755876525557,-0.9288988154980486,-1.2536886111267371,-0.8314618768094422,0.5326552648310492,0.9224030195854752,0.9224030195854752,1.3771087334656391,1.0523189378369506,-1.481041468066819,0.2403444487652296,0.5001762852681804,-0.7015459585579668,-0.27931922424067185
VERBИimpfИtransingИFIRSTperИpresИindc,-1.6302222614585586,0.43499198653361776,-1.2710545661555714,-0.43299661044860127,0.015963008680132708,0.5247839103593646,0.7043677580108582,-0.8220949470268374,-1.2710545661555714,1.0036741707633474,-0.37313532789810344,-0.013967632595116226,0.16561621505637739,0.8839516056623518,2.081177256672309
ADJSИQualmascИsing,-1.6750461473847502,0.8745330949521045,-1.3871904264757506,-1.1404569514108938,0.5044328823548191,0.05208817806924812,0.4221883906665335,-0.8937234763460368,0.5866773740431047,-0.48250101790460853,0.4221883906665335,1.5324890284583896,-0.3180120345280373,1.6558557659908182,-0.15352305115146597
VERBИperfИtransingИimprИexcl,0.3476845171221182,-1.4862557929725702,0.3763398344673477,-0.1108005604015539,-0.053489925711094885,0.8921355466814788,1.2073440374790032,-1.6295323796987176,1.7231397496931344,-0.6552515899609145,1.1500334027885444,-0.8271834940322915,-0.28273246447293093,0.3476845171221182,-0.9991153981036686
NOUNИanimИfemnsingИnomn,-0.267142630618854,0.36997577713322444,-0.28390890450706663,-0.45157164338919253,-0.6024681083831058,-0.4180390956127673,-0.23361008284242885,-0.06594734396030293,0.2526118599157363,-0.5521692867184681,3.4549701725643414,0.034650299368972626,-0.23361008284242885,-0.6527669300477436,-0.35097400005991697
VERBИperfИintrmascИsingИpastИindc,-1.615686533503327,1.7613631881634626,-1.3773065531503772,-0.5429766219150527,-0.5827066186405443,1.284603227457563,0.72838327330068,0.6091932831242051,-0.26486664483661115,-0.10594665793464457,-0.1456766546601362,0.72838327330068,1.1256832405555963,-0.7018966088170192,-0.9005465924444774
NPROИSCNDperplurИnomn,-0.9652698604503025,2.3812232097519654,-1.6715648802919871,-0.20852519633421177,0.060539573129287164,-0.24215829251714913,-0.32624103297449253,0.48095327541600424,-1.4361332070114257,0.2455216021354427,-0.10762590778539967,0.49776982350747295,0.2455216021354427,-0.24215829251714913,1.288147583806501
NOUNИinanИfemnsingИablt,-1.0146805212019816,0.6487301692930698,-0.7651689176277239,-0.8899247194148527,0.8566565056049512,0.1912922294069307,-0.5156573140534662,1.6467765835901007,0.31604803119405955,-0.7651689176277239,-0.6819983831029713,1.106168109179209,1.688361850852477,-0.39090151226633735,-1.4305331938257444
NOUNИanimИmascИSgtmИFixdИNamesingИnomn,-0.46383275930191636,-0.5369595456783446,-0.5787462807505893,0.7114191646049663,3.067146354302763,-0.5839696226346199,-0.5735229388665588,-0.5526295713304364,-0.5735229388665588,-0.5944163064026812,-0.0877521436517139,-0.5369595456783446,-0.2601224258247234,0.7375358740251192,0.8263326860536393
INTJ,-1.8216144986175582,1.231808085025054,-1.5475893949573238,0.05741478362404919,1.7407118489654891,-0.8038069707366875,-0.49063542369641966,-0.060024546516051276,-0.2949032067962522,0.3705863306643171,0.09656122700408268,0.918636537984786,-0.8429534141167211,0.6446114343245515,0.8011972078446855
VERBИperfИtransingИFIRSTperИfutrИindc,-0.4730127935975283,-0.8849916783437628,-1.0680934048976447,0.9460255871950572,0.6713729973642342,1.3580044719412916,1.0833518821104686,-0.1525847721282348,-1.2511951314515268,1.1291273137489393,0.6713729973642342,-1.7089494478362317,-0.7476653834283513,-0.33568649868211675,0.7629238606411752
NOUNИinanИneutsingИnomnИVbe,-0.43234061644859734,1.1725601567318016,-0.07205676940809963,0.09170861561030841,-0.792624463489095,-1.1529083105295928,-0.3013283084338709,0.9105355407023487,-0.07205676940809963,-0.2685752314301893,-0.5633529244633237,-0.07205676940809963,2.8757201609232452,-0.6943652324780502,-0.628859078470687
VERBИimpfИintrmascИsingИpastИindc,-2.076300614948312,0.16785558574274556,0.551004205372926,-0.5437061364275897,-0.7626482047876929,0.33206213701282294,-0.1058219997073834,-0.37949958515751236,2.2478052351637254,-0.7079126876976671,-0.8173837218777187,0.824681790823055,0.9341528250031066,0.6057397224629519,-0.27002855097746076
CONJИPrnt,-0.5936441057310389,0.8904661585965578,-0.9646716718129381,0.47821330739444756,-0.6760946759714609,0.0659604561923374,-0.6348693908512499,1.8798730014816223,0.14841102643275944,-0.5111935354906169,-1.5418256634958922,0.5606638776348696,1.8798730014816223,-0.882221101572516,-0.09894068428850668
NOUNИanimИmascplurИnomn,-2.358201688536572,0.4274897563171799,-0.6237145624955567,0.21724889255463256,0.16468867661399575,1.4261338591892796,0.5326101881984535,0.690290836020364,0.7954112679016376,0.11212846067335891,-1.9377199610114773,0.690290836020364,-0.2557930509110989,-0.0981124030891884,0.21724889255463256
UNKN,-1.3237178953800663,1.0718736554237658,-1.3006833612377218,-0.7478545418214527,-1.0703380198142762,0.19656135801467337,1.9932550211175475,-0.5405437345403519,0.8875973822850095,-0.7248200076791083,1.325253530989556,-0.287163858974562,0.4960103018651524,0.012285084875917044,0.012285084875917044
INFNИperfИintr,-0.4179767742593879,0.1887637045042394,-2.1033669930472416,-0.957301644271501,1.5370758795345223,-0.7550548180169586,0.3235949220072677,-0.8224704267684727,0.9303354007708949,0.458426139510296,0.3235949220072677,-0.7550548180169586,0.8629197920193808,1.4696602707830082,-0.2831455567563596
VERBИimpfИintrsingИimprИexcl,-0.16365893290440386,-1.1865272635569273,1.012639647345998,-1.0842404304916748,-0.16365893290440386,1.5752172292048858,1.2683567300091287,0.8080659812154932,0.8080659812154932,-0.8796667643611702,0.7569225646828671,0.34777523242185776,-0.9308101808937963,-0.7262365147632917,-1.442244346220058
